ImageUrl,Name,Storage_details,Screen_size,Camera_details,Battery_details,Processor,Price in Rupees
https://rukminim1.flixcart.com/image/312/312/j51cbrk0/mobile/q/s/e/nokia-3-na-original-imaevt8uar7n2gsn.jpeg?q=70,"Nokia 3 (Silver White, 16 GB)",2 GB RAM | 16 GB ROM | Expandable Upto 128,12.7 cm (5 inch) HD Display,8MP Rear Camera | 8MP Front Camera,2630 mAh Battery,MTK 6737 Processor,"5,795"
https://rukminim1.flixcart.com/image/312/312/mobile/w/e/p/asus-zenfone-5-a501cg-original-imaefnwg2syzzfud.jpeg?q=70,"Asus Zenfone 5 A501CG (Gold, 8 GB)",2 GB RAM | 8 GB ROM | Expandable Upto 64 GB,12.7 cm (5 inch) HD Display,8MP Rear Camera | 2MP Front Camera,2110 mAh Lithium Battery,Intel Atom Z2560 Processor with Intel Hyper Threading Technology Processor,"8,499"
https://rukminim1.flixcart.com/image/312/312/mobile/7/9/s/asus-zenfone-5-a501cg-original-imaefnwgghevanex.jpeg?q=70,"Asus Zenfone 5 A501CG (Black, 8 GB)",2 GB RAM | 8 GB ROM | Expandable Upto 64 GB,12.7 cm (5 inch) HD Display,8MP Rear Camera | 2MP Front Camera,2110 mAh Lithium Battery,Intel Atom Z2560 Processor with Intel Hyper Threading Technology Processor,"10,499"
https://rukminim1.flixcart.com/image/312/312/mobile/z/z/8/samsung-galaxy-core-prime-sm-g360hzwdins-original-imae43p8cqngzupz.jpeg?q=70,"Samsung Galaxy Core Prime (White, 8 GB)",1 GB RAM | 8 GB ROM | Expandable Upto 64 GB,11.43 cm (4.5 inch) WVGA Display,5MP Rear Camera | 2MP Front Camera,2000 mAh Li-Ion Battery,1.2 GHz Quad Core Processor Processor,"7,990"
https://rukminim1.flixcart.com/image/312/312/jjq18y80/mobile-refurbished/x/p/5/f3-plus-64-d-cph1613-oppo-4-original-imaezgfyzjggqs6d.jpeg?q=70,"OPPO F3 Plus (Gold, 64 GB)",6 GB RAM | 64 GB ROM | Expandable Upto 256 GB,15.24 cm (6 inch) Full HD Display,16MP Rear Camera | 16MP + 8MP Dual Front Camera,4000 mAh Battery,Qualcomm MSM8976 Pro Snapdragon 653 octa-core Processor,"22,990"
https://rukminim1.flixcart.com/image/312/312/jpinjbk0/mobile/m/g/e/oppo-r17-pro-cph1877-original-imafbjynn68t8w8s.jpeg?q=70,"OPPO R17 Pro (Emerald Green, 128 GB)",8 GB RAM | 128 GB ROM |,16.26 cm (6.4 inch) Display,12MP + 20MP | 25MP Front Camera,3700 mAh Battery,SDM710 Processor,"29,990"
https://rukminim1.flixcart.com/image/312/312/jm9hfgw0/mobile-refurbished/f/z/5/7c-32-a-lnd-al30-v100r001-honor-3-original-imaf7zxqxhbzrffn.jpeg?q=70,"Honor 7C (Black, 64 GB)",4 GB RAM | 64 GB ROM | Expandable Upto 256 GB,15.21 cm (5.99 inch) Display,13MP + 2MP | 8MP Front Camera,3000 mAh Battery,Qualcomm SDM450 Processor,"9,899"
https://rukminim1.flixcart.com/image/312/312/mobile/j/h/x/asus-zenfone-2-laser-ze500kl-ze500kl-1a079ww-original-imae9t58ehgtveqc.jpeg?q=70,"Asus Zenfone 2 Laser ZE500KL (Black, 16 GB)",2 GB RAM | 16 GB ROM | Expandable Upto 128 GB,12.7 cm (5 inch) HD Display,13MP Rear Camera | 5MP Front Camera,2070 mAh Li-Polymer Battery,Qualcomm Snapdragon 410 MSM8916 Processor,"5,990"
https://rukminim1.flixcart.com/image/312/312/jaij3bk0/mobile/f/x/h/mi-redmi-5a-c3b-original-imafy2gfpyybwyyd.jpeg?q=70,"Xiaomi Redmi 5A (Gold, 16 GB)",2 GB RAM | 16 GB ROM | Expandable Upto 128 GB,12.7 cm (5 inch) HD Display,13MP Rear Camera | 5MP Front Camera,3000 mAh Li-polymer Battery,Qualcomm Snapdragon 425 Processor,"5,999"
https://rukminim1.flixcart.com/image/312/312/j2c6du80/mobile/6/y/c/oppo-f3-cph1609-original-imaetmmfgaqnjrbe.jpeg?q=70,"OPPO F3 (Gold, 64 GB)",4 GB RAM | 64 GB ROM | Expandable Upto 128 GB,13.97 cm (5.5 inch) Full HD Display,13MP Rear Camera | 16MP + 8MP Dual Front Camera,3200 mAh Battery,Mediatek MT6750T Octa Core 1.5GHz Processor,"20,990"
https://rukminim1.flixcart.com/image/312/312/jezzukw0/mobile/8/y/f/vivo-v9-1730-original-imaf3k6n7tvwcvfy.jpeg?q=70,"Vivo V9 (Gold, 64 GB)",4 GB RAM | 64 GB ROM | Expandable Upto 256 GB,16.0 cm (6.3 inch) Full HD+ Display,16MP + 5MP | 24MP Front Camera,3260 mAh Li-ion Battery,Qualcomm Snapdragon 626 Processor,"14,799"
https://rukminim1.flixcart.com/image/312/312/k1zbssw0pkrrdj/mobile-refurbished/3/g/v/y17-128-c-1902-vivo-4-original-imaffugzgfwdrcy9.jpeg?q=70,"Vivo Y17 (Mineral Blue, 128 GB)",4 GB RAM | 128 GB ROM | Expandable Upto 256 GB,16.13 cm (6.35 inch) HD+ Display,13MP + 2MP + 8MP | 20MP Front Camera,5000 mAh Lithium-ion Battery,MTK Helio P35 (MT6765) Processor,"13,990"
https://rukminim1.flixcart.com/image/312/312/jpmxuvk0/mobile/b/p/w/nokia-3-1-ta-1070-original-imafbtsnvmuf9wry.jpeg?q=70,"Nokia 3.1 (Blue & copper/Blue, 16 GB)",2 GB RAM | 16 GB ROM |,13.21 cm (5.2 inch) Display,13MP Rear Camera,2990 mAh Battery,1 Year Warranty,"6,410"
https://rukminim1.flixcart.com/image/312/312/jpmxuvk0/mobile/s/c/u/nokia-3-1-ta-1070-original-imafbtsnmbees3tr.jpeg?q=70,"Nokia 3.1 (Black, 16 GB)",2 GB RAM | 16 GB ROM |,13.21 cm (5.2 inch) Display,13MP Rear Camera,2990 mAh Battery,1 Year Warranty,"6,899"
https://rukminim1.flixcart.com/image/312/312/k2jbyq80pkrrdj/mobile-refurbished/n/a/s/y93-32-a-1815-pd1818cf-ex-vivo-4-original-imafczfaaxkydvzs.jpeg?q=70,"Vivo Y93 (Starry Black, 32 GB)",4 GB RAM | 32 GB ROM | Expandable Upto 256 GB,15.8 cm (6.22 inch) HD+ Display,13MP + 2MP | 8MP Front Camera,4030 mAh Li-ion Battery,MediaTek Helio P22 Processor,"12,290"
https://rukminim1.flixcart.com/image/312/312/jm2c87k0/mobile/a/u/t/mi-redmi-6-na-original-imaf92dn4sfharjg.jpeg?q=70,"Xiaomi Redmi 6 (Black, 32 GB)",3 GB RAM | 32 GB ROM | Expandable Upto 256 GB,13.84 cm (5.45 inch) HD+ Display,12MP + 5MP | 5MP Front Camera,3000 mAh Lithium-polymer Battery,2.0 GHz Mediatek P22 Octacore Processor,"7,449"
https://rukminim1.flixcart.com/image/312/312/j2z1fgw0/mobile/5/7/h/vivo-v5s-1713-original-imaeu5e8m9xrhtjf.jpeg?q=70,"Vivo V5s Perfect Selfie (Matte Black, 64 GB)",4 GB RAM | 64 GB ROM | Expandable Upto 256 GB,13.97 cm (5.5 inch) HD Display,13MP Rear Camera | 20MP Front Camera,3000 mAh Li-Ion Battery,MediaTek MT6750 64-bit Octa Core 1.5GHz Processor,"18,990"
